Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,
A bottom-up parser for PCFG grammars that tries edges in whatever order.,,,,,,,,,,,,
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.",,Sort Edge objects,,,Sort the given queue of Edge objects,,,0,,,,
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,,,,,,,,,,,,
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,,Parse text,,,,,,0,,,,
None,,,,,,,,,,,,
"A demonstration of the probabilistic parsers. The user is prompted to select which demo to run, and how many parses should be found; and then each parser is run on the same demo, and a summary of the results are displayed.",,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
"A cell from the parse chart formed when performing the CYK algorithm. Each cell keeps track of its x and y coordinates (though this will probably be discarded), and a list of spans serving as the cell’s entries.",,Perform CYK algorithm,,,Perform the CYK algorithm,Perform the CYK algorithm,,1,,,perform CYK algorithm,perform CYK algorithm
Appends the given span to the list of spans representing the chart cell’s entries.,,,,,,,,,,,append given span to list,append given span to list
span (DependencySpan) – The span to add.,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
"A contiguous span over some part of the input string representing dependency (head -> modifier) relationships amongst words. An atomic span corresponds to only one word so it isn’t a ‘span’ in the conventional sense, as its _start_index = _end_index = _head_index for concatenation purposes. All other spans are assumed to have arcs between all nodes within the start and end indexes of the span, and one head index corresponding to the head word for the entire span. This is the same as the root node if the dependency structure were depicted as a graph.",,,,,,,,,,,,
An value indexing the head of the entire DependencySpan.,,,,,,,,,,,,
int,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
"A probabilistic, projective dependency parser.",,,,,,,,,,,,
"This parser returns the most probable projective parse derived from the probabilistic dependency grammar derived from the train() method. The probabilistic model is an implementation of Eisner’s (1996) Model C, which conditions on head-word, head-tag, child-word, and child-tag. The decoding uses a bottom-up chart-based span concatenation algorithm that’s identical to the one utilized by the rule-based projective parser.",,Return probably projective parse,,,Return the most probable projective parse derived from the probabilistic dependency grammar ,,Return the most probable projective parse derived from the probabilistic dependency grammar ,0,,,,
Computes the probability of a dependency graph based on the parser’s probability model (defined by the parser’s statistical dependency grammar).,Compute probability of dependency graph,Compute dependency graph probability,Compute dependency graph probability,Compute dependency graph probability,Compute the probability of a dependency graph based on the parser's probability model,Compute the probability of a deendency graph based on the parser's probability model,Compute the probability of a dependency graph based on the parser's probability model,0,,,compute probability of dependency graph,compute probability of dependency graph
dg (DependencyGraph) – A dependency graph to score.,,,,,,,,,,,,
The probability of the dependency graph.,,,,,,,,,,,,
int,,,,,,,,,,,,
"Concatenates the two spans in whichever way possible. This includes rightward concatenation (from the leftmost word of the leftmost span to the rightmost word of the rightmost span) and leftward concatenation (vice-versa) between adjacent spans. Unlike Eisner’s presentation of span concatenation, these spans do not share or pivot on a particular word/word-index.",Concatenate two spans,Concatenate spans,Concatenate spans,,Concatenate the two spans,,,1,,,,
A list of new spans formed through concatenation.,,,,,,,,,,,,
list(DependencySpan),,,,,,,,,,,,
Parses the list of tokens subject to the projectivity constraint and the productions in the parser’s grammar. This uses a method similar to the span-concatenation algorithm defined in Eisner (1996). It returns the most probable parse derived from the parser’s probabilistic dependency grammar.,,Parse list of tokens,Parse list of tokens,Parse list of tokens,Parse the list of tokens subject to the projectivity constraint and the productions in the parser’s grammar,Parse the list of tokens subject to the projectivity constraint and the productions in the parser’s grammar,Parse the list of tokens subject to the projectivity constraint and the productions in the parser’s grammar,1,,,,
"Trains a ProbabilisticDependencyGrammar based on the list of input DependencyGraphs. This model is an implementation of Eisner’s (1996) Model C, which derives its statistics from head-word, head-tag, child-word, and child-tag relationships.",Train a Probabilistic dependency grammar on input dependency graphs,Train ProbabilisticDependencyGrammar,Train ProbabilisticDependencyGrammar,Train ProbabilisticDependencyGrammar,Train a ProbabilisticDependencyGrammar based on the list of input DependencyGraphs,Train a ProbabilisticDependencyGrammar based on the list of input DependencyGraphs,Train a ProbabilisticDependencyGrammar based on the list of input DependencyGraphs,1,,,,
graphs – A list of dependency graphs to train from.,,,,,,,,,,,,
list(DependencyGraph),,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
"A projective, rule-based, dependency parser. A ProjectiveDependencyParser is created with a DependencyGrammar, a set of productions specifying word-to-word dependency relations. The parse() method will then return the set of all parses, in tree representation, for a given input sequence of tokens. Each parse must meet the requirements of the both the grammar and the projectivity constraint which specifies that the branches of the dependency tree are not allowed to cross. Alternatively, this can be understood as stating that each parent node and its children in the parse tree form a continuous substring of the input sequence.",,Return set of all parses,,,Return the set of all parses,,,0,,,,
"Concatenates the two spans in whichever way possible. This includes rightward concatenation (from the leftmost word of the leftmost span to the rightmost word of the rightmost span) and leftward concatenation (vice-versa) between adjacent spans. Unlike Eisner’s presentation of span concatenation, these spans do not share or pivot on a particular word/word-index.",Concatenate two spans,Concatenate spans,Concatenate spans,Concatenate spans,Concatenate the two spans,,,1,,,,
A list of new spans formed through concatenation.,,,,,,,,,,,,
list(DependencySpan),,,,,,,,,,,,
"Performs a projective dependency parse on the list of tokens using a chart-based, span-concatenation algorithm similar to Eisner (1996).",,Perform projective depedency parse,,,"Perform a projective dependency parse on the list of tokens using a chart-based, span-concatenation algorithm similar to Eisner (1996)","Perform a projective dependency parse on the list of tokens using a chart-based, span-concatenation algorithm similar to Eisner (1996)","Perform a projective dependency parse on the list of tokens using a chart-based, span-concatenation algorithm similar to Eisner (1996)",1,,,use chart-based span-concatenation algorithm similar,parse  on list
tokens (list(str)) – The list of input tokens.,,,,,,,,,,,,
An iterator over parse trees.,,,,,,,,,,,,
iter(Tree),,,,,,,,,,,,
A demonstration showing the creation of a DependencyGrammar in which a specific number of modifiers is listed for a given head. This can further constrain the number of possible parses created by a ProjectiveDependencyParser.,,,,,,,,,,,,
A demo showing the training and use of a projective dependency parser.,,,,,,,,,,,"show training of projective dependency parser
show use of projective dependency parser","show training of projective dependency parser
show use of projective dependency parser"
A demonstration showing the creation and use of a DependencyGrammar to perform a projective dependency parse.,,,,,,,,,,,"show creation of DependencyGrammar
show use of DependencyGrammar
perform projective dependency parse","show creation of DependencyGrammar
show use of DependencyGrammar
perform projective dependency parse"
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
"A simple top-down CFG parser that parses texts by recursively expanding the fringe of a Tree, and matching it against a text.",,Parse text,Parse text,Parse text,Parse text by recursively expanding the fringe of a Tree,Parse text by recursively expanding the fringe of a Tree,,1,,,"expand fringe of tree
match  against text","parse texts by matching
parse texts by expanding
expand fringe of tree
match  against text"
RecursiveDescentParser uses a list of tree locations called a “frontier” to remember which subtrees have not yet been expanded and which leaves have not yet been matched against the text. Each tree location consists of a list of child indices specifying the path from the root of the tree to a subtree or a leaf; see the reference documentation for Tree for more information about tree locations.,,,,,Remember which subtrees have not yet been expanded,,,1,,,,
"When the parser begins parsing a text, it constructs a tree containing only the start symbol, and a frontier containing the location of the tree’s root node. It then extends the tree to cover the text, using the following recursive procedure:",,,,,"Begin parsing a text
Construct a tree containing only the start symbol
Extend the tree to cover the text",,,1,,,,
"If the frontier is empty, and the text is covered by the tree, then return the tree as a possible parse.",,Return tree,,,Return the tree as a possible parse,,,0,,,return tree as possible parse,return tree as possible parse
"If the frontier is empty, and the text is not covered by the tree, then return no parses.",,,,,,,,,,,return parses,return parses
"If the first element of the frontier is a subtree, then use CFG productions to “expand” it. For each applicable production, add the expanded subtree’s children to the frontier, and recursively find all parses that can be generated by the new tree and frontier.",,,,,Recursively find all parses that can be generated by the new tree and frontier,,,1,,,,
"If the first element of the frontier is a token, then “match” it against the next token from the text. Remove the token from the frontier, and recursively find all parses that can be generated by the new tree and frontier.",,,,,"Remove the token from the frontier
Recursively find all parses that can be generated",,,1,,,,
nltk.grammar,,,,,,,,,,,,
The grammar used by this parser.,,,,,,,,,,,use  by parser,
An iterator that generates parse trees for the sentence.,,Generate parse trees for sentence,,,Generate parse trees for the sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,1,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,,,,,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
Set the level of tracing output that should be generated when parsing a text.,,Set tracing output,Set tracing output,Set tracing output,Set the level of tracing output that should be generated when parsing a text,Set the level of tracing output that should be generated when parsing a text,Set the level of tracing output that should be generated when parsing a text,0,,,"set level of tracing
generate output","set level of tracing
parse text
generate output"
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,,,,,"Generate no tracing output
Produce more verbose tracing output",,"Generate no tracing output
Produce more verbose tracing output",1,,,,
None,,,,,,,,,,,,
Bases: nltk.parse.recursivedescent.RecursiveDescentParser,,,,,,,,,,,,
"A RecursiveDescentParser that allows you to step through the parsing process, performing a single operation at a time.",,,,,Step through the parsing process,Step through the parsing process,Step through the parsing process,1,,,perform single operation at time,perform single operation at time
"The initialize method is used to start parsing a text. expand expands the first element on the frontier using a single CFG production, and match matches the first element on the frontier against the next text token. backtrack undoes the most recent expand or match operation. step performs a single expand, match, or backtrack operation. parses returns the set of parses that have been found by the parser.",,"Start parsing text
Expand first element
Match first element
Undo expand
Undo match
Perform single expand
Return parses",,,"Start parsing a text
Match the first element on the frontier
Undo the most recent expand or match operation
Perform a single expand",,,1,,,,
"_history – A list of (rtext, tree, frontier) tripples, containing the previous states of the parser. This history is used to implement the backtrack operation.",,,,,,,,,,,,
_tried_e – A record of all productions that have been tried for a given tree. This record is used by expand to perform the next untried production.,,,,,,,,,,,,
_tried_m – A record of what tokens have been matched for a given tree. This record is used by step to decide whether or not to match a token.,,,,,,,,,,,,
nltk.grammar,,,,,,,,,,,,
"Return the parser to its state before the most recent match or expand operation. Calling undo repeatedly return the parser to successively earlier states. If no match or expand operations have been performed, undo will make no changes.",,,,,,,,,,,,
true if an operation was successfully undone.,,,,,,,,,,,,
bool,,,,,,,,,,,,
Whether the parser’s current state represents a complete parse.,,,,,,,,,,,,
bool,,,,,,,,,,,,
"Expand the first element of the frontier. In particular, if the first element of the frontier is a subtree whose node type is equal to production’s left hand side, then add a child to that subtree for each element of production’s right hand side. If production is not specified, then use the first untried expandable production. If all expandable productions have been tried, do nothing.",,"Expand first element
Add child to subtree",,,"Expand the first element of the frontier
Add a child to that subtree for each element of the production's right hand side",,,0,,,,
"The production used to expand the frontier, if an expansion was performed. If no expansion was performed, return None.",,,,,,,,,,,,
Production or None,,,,,,,,,,,,
A list of all the productions for which expansions are available for the current parser state.,,,,,,,,,,,,
list(Production),,,,,,,,,,,,
"A list of the tree locations of all subtrees that have not yet been expanded, and all leaves that have not yet been matched.",,,,,,,,,,,,
list(tuple(int)),,,,,,,,,,,,
"Start parsing a given text. This sets the parser’s tree to the start symbol, its frontier to the root node, and its remaining text to token['SUBTOKENS'].",,Start parsing text,,,Start parsing a given text,,Start parsing a given text,0,,,,
"Match the first element of the frontier. In particular, if the first element of the frontier has the same type as the next text token, then substitute the text token into the tree.",,Match first element,,,Match the first element of the frontier,,,0,,,,
"The token matched, if a match operation was performed. If no match was performed, return None",,,,,,,,,,,,
str or None,,,,,,,,,,,,
An iterator that generates parse trees for the sentence.,,Generate parse trees for sentence,,,Generate parse trees for the sentence,,Generate parse trees for the sentence,0,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,,,,,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
An iterator of the parses that have been found by this parser so far.,,,,,,,,,,,find parses,find parses
list of Tree,,,,,,,,,,,,
The portion of the text that is not yet covered by the tree.,,,,,,,,,,,,
list(str),,,,,,,,,,,,
Change the grammar used to parse texts.,,,,,,,,,,,,parse texts
grammar (CFG) – The new grammar.,,,,,,,,,,,,
"Perform a single parsing operation. If an untried match is possible, then perform the match, and return the matched token. If an untried expansion is possible, then perform the expansion, and return the production that it is based on. If backtracking is possible, then backtrack, and return True. Otherwise, return None.",Do single parsing operation,"Perform match
Return matched token
Perform expansion
Return production",,,Perform a single parsing operation,,Perform a single parsing operation,1,,,,
None if no operation was performed; a token if a match was performed; a production if an expansion was performed; and True if a backtrack operation was performed.,,,,,,,,,,,"perform operation
perform match
perform expansion
perform backtrack operation","perform operation
perform match
perform expansion
perform backtrack operation"
Production or String or bool,,,,,,,,,,,,
A partial structure for the text that is currently being parsed. The elements specified by the frontier have not yet been expanded or matched.,,,,,,,,,,,,
Tree,,,,,,,,,,,,
A list of all the untried productions for which expansions are available for the current parser state.,,,,,,,,,,,,
list(Production),,,,,,,,,,,,
Whether the first element of the frontier is a token that has not yet been matched.,,,,,,,,,,,,
bool,,,,,,,,,,,,
A demonstration of the recursive descent parser.,,,,,,,,,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
"A simple bottom-up CFG parser that uses two operations, “shift” and “reduce”, to find a single parse for a text.",,Find single parse for text,,,Use two operations to find a single parse for the text,,,1,,,"use operations
use simple bottom-up CFG parser
find single parse for text",find single parse for text
"ShiftReduceParser maintains a stack, which records the structure of a portion of the text. This stack is a list of strings and Trees that collectively cover a portion of the text. For example, while parsing the sentence “the dog saw the man” with a typical grammar, ShiftReduceParser will produce the following stack, which covers “the dog saw”:",,,,,,,,,,,,
"ShiftReduceParser attempts to extend the stack to cover the entire text, and to combine the stack elements into a single tree, producing a complete parse for the sentence.",,"Extend stack to text
Combine stack elements
Produce complete parse",,,"Extend the stack to cover the entire text
Combine the stack elements into a single tree
Produce a complete parse for the sentence",Produce a complete parse for the sentence,,1,,,"extend stack
combine stack elements into single tree
produce complete parse for sentence","combine stack elements into single tree
produce complete parse for sentence"
"Initially, the stack is empty. It is extended to cover the text, from left to right, by repeatedly applying two operations:",,,,,,,,,,,,
“shift” moves a token from the beginning of the text to the end of the stack.,,Move token,,,Move a token from the beginning of the text to the end of the stack,,,0,,,move  from beginning,move  from beginning
“reduce” uses a CFG production to combine the rightmost stack elements into a single Tree.,,Combine stack elements,,,Use a CFG production to combine the rightmost stack elements into a single tree,,,0,,,,
"Often, more than one operation can be performed on a given stack. In this case, ShiftReduceParser uses the following heuristics to decide which operation to perform:",,,,,Perform more than one operation on a given stack,Perform more than one operation on a given stack,,1,,,"perform operation on given stack
use  in case",perform operation on given stack
Only shift if no reductions are available.,,,,,,,,,,,,
"If multiple reductions are available, then apply the reduction whose CFG production is listed earliest in the grammar.",,,,,Apply the reduction whose CFG is listed earliest in the grammar,,,1,,,"apply reduction
list CFG production","apply reduction
list CFG production"
"Note that these heuristics are not guaranteed to choose an operation that leads to a parse of the text. Also, if multiple parses exists, ShiftReduceParser will return at most one of them.",,,,,,,,,,,,
nltk.grammar,,,,,,,,,,,,
The grammar used by this parser.,,,,,,,,,,,use  by parser,
An iterator that generates parse trees for the sentence.,,,,,,,,,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,Sort list from most likely to least likely,,,1,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
Set the level of tracing output that should be generated when parsing a text.,Set tracing output level when parsing text,Set tracing level,Set tracing level,Set tracing level,,,,1,,,"set level of tracing
generate output","set level of tracing
parse text
generate output"
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,,Generate tracing output,,,"Generate no tracing output
Produce more verbose tracing output",,"Generate no tracing output
Produce more verbose tracing output",1,,,,
None,,,,,,,,,,,,
Bases: nltk.parse.shiftreduce.ShiftReduceParser,,,,,,,,,,,,
"A ShiftReduceParser that allows you to setp through the parsing process, performing a single operation at a time. It also allows you to change the parser’s grammar midway through parsing a text.",,"Perform single operation
Change grammar",,,"Step through the parsing process
Change the parser's grammar midway through parsing a text","Step through the parsing process
Change the parser's grammar midway through parsing a text","Step through the parsing process
Change the parser's grammar midway through parsing a text",1,,,,
"The initialize method is used to start parsing a text. shift performs a single shift operation, and reduce performs a single reduce operation. step will perform a single reduce operation if possible; otherwise, it will perform a single shift operation. parses returns the set of parses that have been found by the parser.",,"Start parsing text
Perform shift
Perform reduce
Return parses",,,"Start parsing a text
Perform a single shift operation
Perform a single reduce operation
Return the set of parses that have been found by the parser",,Start parsing a text,1,,,,
"_history – A list of (stack, remaining_text) pairs, containing all of the previous states of the parser. This history is used to implement the undo operation.",,,,,,,,,,,,
nltk.grammar,,,,,,,,,,,,
Start parsing a given text. This sets the parser’s stack to [] and sets its remaining text to tokens.,,,,,,,,,,,,
An iterator that generates parse trees for the sentence.,,Generate parse trees for sentence,Generate parse trees for sentence,Generate parse trees for sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,1,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,Sort list from most likely to least likely,,,1,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
An iterator of the parses that have been found by this parser so far.,,,,,,,,,,,find parses,find parses
iter(Tree),,,,,,,,,,,,
"Use production to combine the rightmost stack elements into a single Tree. If production does not match the rightmost stack elements, then do nothing.",,,,,Use production to combine the rightmost stack elements into a single Tree,,,1,,,,
"The production used to reduce the stack, if a reduction was performed. If no reduction was performed, return None.",,,,,,,,,,,,
Production or None,,,,,,,,,,,,
A list of the productions for which reductions are available for the current parser state.,,,,,,,,,,,,
list(Production),,,,,,,,,,,,
The portion of the text that is not yet covered by the stack.,,,,,,,,,,,,
list(str),,,,,,,,,,,,
Change the grammar used to parse texts.,,Change grammar,Change grammar,Change grammar,Change the grammar used to parse texts,Change the grammar used to parse texts,Change the grammar used to parse texts,1,,,,parse texts
grammar (CFG) – The new grammar.,,,,,,,,,,,,
"Move a token from the beginning of the remaining text to the end of the stack. If there are no more tokens in the remaining text, then do nothing.",Move a token from the beginning of remaining text to end of stack,Move token,Move token,,Move a token from the begining of the remaining text to the end of the stack,,,1,,,,
True if the shift operation was successful.,,,,,,,,,,,,
bool,,,,,,,,,,,,
The parser’s stack.,,,,,,,,,,,,
list(str and Tree),,,,,,,,,,,,
"Perform a single parsing operation. If a reduction is possible, then perform that reduction, and return the production that it is based on. Otherwise, if a shift is possible, then perform it, and return True. Otherwise, return False.",Perform single parsing operation,"Perform reduction
Return production",,Perform reduction,Perform a single parsing operation,Perform a single parsing operation,,1,,,,
False if no operation was performed; True if a shift was performed; and the CFG production used to reduce if a reduction was performed.,,,,,,,,,,,"perform operation
perform shift
perform reduction","perform operation
perform shift
perform reduction"
Production or bool,,,,,,,,,,,,
"Return the parser to its state before the most recent shift or reduce operation. Calling undo repeatedly return the parser to successively earlier states. If no shift or reduce operations have been performed, undo will make no changes.",Set parser to state before the most recent shift or reduce operation,Return parser,,,Return the parser to its state before the most recent shift or reduce operation,,,0,,,,
true if an operation was successfully undone.,,,,,,,,,,,,
bool,,,,,,,,,,,,
A demonstration of the shift-reduce parser.,,,,,,,,,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
Interface to the Stanford Parser,,,,,,,,,,,,
"Use StanfordParser to parse multiple sentences. Takes multiple sentences as a list where each sentence is a list of words. Each sentence will be automatically tagged with this StanfordParser instance’s tagger. If whitespaces exists inside a token, then the token will be treated as separate tokens.",Use Stanford parser to parse multiple sentences,Use StanfordParser,Use StanfordParser,Use StanfordParser,Use StanfordParser to parse multiple sentences,Use StanfordParser to parse multiple sentences,Use StanfordParser to parse multiple sentences,0,,,use StanfordParser,parse multiple sentences
sentences (list(list(str))) – Input sentences to parse,,,,,,,,,,,,
iter(iter(Tree)),,,,,,,,,,,,
"Use StanfordParser to parse a sentence. Takes a sentence as a string; before parsing, it will be automatically tokenized and tagged by the Stanford Parser.",Use Stanford parser to parse a single sentence,Use StanfordParser,Use StanfordParser,Use StanfordParser,Use StanfordParser to parse a sentence,Use StanfordParser to parse a sentence,Use StanfordParser to parse a sentence,0,,,use StanfordParser,parse sentence
sentence (str) – Input sentence to parse,,,,,,,,,,,,
iter(Tree),,,,,,,,,,,,
Use StanfordParser to parse multiple sentences. Takes multiple sentences as a list of strings. Each sentence will be automatically tokenized and tagged by the Stanford Parser.,Use Stanford parser to parse multiple sentences,Use StanfordParser,Use StanfordParser,Use StanfordParser,Use StanfordParser to parse multiple sentences,Use StanfordParser to parse multiple sentences,Use StanfordParser to parse multiple sentences,0,,,use StanfordParser,parse multiple sentences
sentences (list(str)) – Input sentences to parse,,,,,,,,,,,,
iter(iter(Tree)),,,,,,,,,,,,
"Use StanfordParser to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged.",Use Stanford parser to parse a single sentence,Use StanfordParser,Use StanfordParser,Use StanfordParser,Use StanfordParser to parse a sentence,Use StanfordParser to parse a sentence,Use StanfordParser to parse a sentence,0,,,use StanfordParser,parse sentence
"sentence (list(tuple(str, str))) – Input sentence to parse",,,,,,,,,,,,
iter(Tree),,,,,,,,,,,,
"Use StanfordParser to parse multiple sentences. Takes multiple sentences where each sentence is a list of (word, tag) tuples. The sentences must have already been tokenized and tagged.",Use Stanford parser to parse multiple sentences,Use StanfordParser,Use StanfordParser,Use StanfordParser,Use StanfordParser to parse multiple sentences,Use StanfordParser to parse multiple sentences,Use StanfordParser to parse multiple sentences,0,,,use StanfordParser,parse multiple sentences
"sentences (list(list(tuple(str, str)))) – Input sentences to parse",,,,,,,,,,,,
iter(iter(Tree)),,,,,,,,,,,,
Bases: nltk.parse.stanford.GenericStanfordParser,,,,,,,,,,,,
Bases: nltk.parse.stanford.GenericStanfordParser,,,,,,,,,,,,
Currently unimplemented because the neural dependency parser (and the StanfordCoreNLP pipeline class) doesn’t support passing in pre- tagged tokens.,,,,,,,,,,,pass  in pre,pass  in pre
Bases: nltk.parse.stanford.GenericStanfordParser,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
Class for holding configuration which is the partial analysis of the input sentence. The transition based parser aims at finding set of operators that transfer the initial configuration to the terminal configuration.,,,,,Find set of operators that transfer the initial configuration to the terminal configuration,,,1,,,find set of operators,find set of operators
Stack: for storing partially proceeded words,,,,,,,,,,,,
Buffer: for storing remaining input words,,,,,,,,,,,store remaining input words,store remaining input words
Set of arcs: for storing partially built dependency tree,,,,,,,,,,,"store built dependency tree
set  of arcs
set  for storing","store built dependency tree
set  of arcs
set  for storing"
This class also provides a method to represent a configuration as list of features.,,,,,Represent a configuration as a list of features,Represent a configuration as a list of features,Represent a configuration as a list of features,1,,,provide method,provide method
"Extract the set of features for the current configuration. Implement standard features as describe in Table 3.2 (page 31) in Dependency Parsing book by Sandra Kubler, Ryan McDonal, Joakim Nivre. Please note that these features are very basic. :return: list(str)",Extract set of features for current configuration,"Extract features
Implement features",,,Extract the set of features for the current configuration,,Extract the set of features for the current configuration,1,,,"describe  in Table
describe  in Dependency parsing book",
Bases: object,,,,,,,,,,,,
"This class defines a set of transition which is applied to a configuration to get another configuration Note that for different parsing algorithm, the transition is different.",,Define set of transitions,,,Define a set of transition,,,0,,,"define set of transition
get configuration Note
apply set of transition
apply set to configuration","get configuration Note
apply set of transition
apply set to configuration"
is the current configuration,,,,,,,,,,,,
:return : A new configuration or -1 if the pre-condition is not satisfied,,,,,,,,,,,,
is the current configuration,,,,,,,,,,,,
:return : A new configuration or -1 if the pre-condition is not satisfied,,,,,,,,,,,,
is the current configuration,,,,,,,,,,,,
:return : A new configuration or -1 if the pre-condition is not satisfied,,,,,,,,,,,,
is the current configuration,,,,,,,,,,,,
:return : A new configuration or -1 if the pre-condition is not satisfied,,,,,,,,,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
Class for transition based parser. Implement 2 algorithms which are “arc-standard” and “arc-eager”,,,,,,,,1,,,implement algorithms,implement algorithms
"depgraphs (list(DependencyGraph)) – the list of test sentence, each sentence is represented as a dependency graph where the ‘head’ information is dummy",,,,,,Represent sentence as a dependency graph,,1,,,,
modelfile (str) – the model file,,,,,,,,,,,,
list (DependencyGraph) with the ‘head’ and ‘rel’ information,,,,,,,,,,,,
:param depgraphs : list of DependencyGraph as the training data :type depgraphs : DependencyGraph :param modelfile : file name to save the trained model :type modelfile : str,,,,,,,,,,,save trained model,save trained model
###################### Check the Initial Feature ########################,,Check initial feature,,,Check the initial feature,,,0,,,,
"###################### Check The Transition ####################### Check the Initialized Configuration >>> print(conf) Stack : [0] Buffer : [1, 2, 3, 4, 5, 6, 7, 8, 9] Arcs : []",,"Check transition
Check configuration",,,"Check the transition
Check the initialized configuration",,,1,,,,
Do some transition checks for ARC-STANDARD,,,,,,,,,,,,
"Middle Configuration and Features Check >>> print(conf) Stack : [0, 3, 5, 6] Buffer : [8, 9] Arcs : [(2, ‘ATT’, 1), (3, ‘SBJ’, 2), (5, ‘ATT’, 4), (8, ‘ATT’, 7)]",,,,,,,,,,,,
"Terminated Configuration Check >>> print(conf) Stack : [0] Buffer : [] Arcs : [(2, ‘ATT’, 1), (3, ‘SBJ’, 2), (5, ‘ATT’, 4), (8, ‘ATT’, 7), (6, ‘PC’, 8), (5, ‘ATT’, 6), (3, ‘OBJ’, 5), (3, ‘PU’, 9), (0, ‘ROOT’, 3)]",,,,,,,,,,,,
Do some transition checks for ARC-EAGER,,,,,,,,,,,,
###################### Check The Training Function #######################,,Check training function,,,Check the training function,,,0,,,,
"A. Check the ARC-STANDARD training >>> import tempfile >>> import os >>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",,Check ARC-STANDARD training,,,Check the ARC-STANDARD training ,,,0,,,check ARC-STANDARD training,check ARC-STANDARD training
Check the ARC-EAGER training,,Check ARC-EAGER training,,,Check the ARC-EAGER training,,,0,,,check ARC-EAGER training,check ARC-EAGER training
###################### Check The Parsing Function ########################,,Check parsing function,,,Check the parsing function,,,0,,,,
Check the ARC-STANDARD parser,,Check ARC-STANDARD parser,,,Check the ARC-STANDARD PARSER,,,0,,,check ARC-STANDARD parser,check ARC-STANDARD parser
"B. Check the ARC-EAGER parser >>> result = parser_eager.parse([gold_sent], ‘temp.arceager.model’) >>> de = DependencyEvaluator(result, [gold_sent]) >>> de.eval() >= (0, 0) True",,Check ARC-EAGER parser,,,Check the ARC-STANDARD PARSER,,,0,,,,
Remove test temporary files >>> remove(‘temp.arceager.model’) >>> remove(‘temp.arcstd.model’),Remove test temporary files,Remove test files,,,Remove test temporary files,,,0,,,,
Note that result is very poor because of only one training example.,,,,,,,,,,,,
Utility functions for parsers.,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
Unit tests for CFG.,,,,,,,,,,,,
grammatical (accept) and,,,,,,,,,,,,
ungrammatical (reject).,,,,,,,,,,,,
"If a sentence should parse accordng to the grammar, the value of trees will be a non-empty list. If a sentence should be rejected according to the grammar, then the value of trees will be None.",,"Parse sentence
Reject sentence",,Parse sentence,"Parse sentence according to the grammar
Reject sentence according to the grammar",Parse sentence according to the grammar,"Parse sentence according to the grammar
Reject sentence according to the grammar",1,,,,
Parses a string with one test sentence per line. Lines can optionally begin with:,,,,,,,,,,,,
"a bool, saying if the sentence is grammatical or not, or",,,,,,,,,,,,
"an int, giving the number of parse trees is should have,",,,,,,,,,,,,
"The result information is followed by a colon, and then the sentence. Empty lines and lines beginning with a comment char are ignored.",,,,,,,,,,,"ignore empty lines
ignore lines","ignore empty lines
ignore lines"
